id,observed_on,latitude,longitude,positional_accuracy,place_county_name,place_state_name,species_guess
93607384,2021-09-04,39.1829072126,-78.1662000118,22.0,Winchester,Virginia,Spotted Lanternfly
93609559,2021-09-04,39.1868647875,-78.1670192176,11.0,Winchester,Virginia,Spotted Lanternfly
94147395,2021-09-08,39.1707372987,-78.1819315875,160.0,Winchester,Virginia,Spotted Lanternfly
94333866,2021-09-10,39.1619282933,-78.0973511562,302.0,Frederick,Virginia,Spotted Lanternfly
94443559,2021-09-11,39.0673977067,-78.0619163486,1366.0,Clarke,Virginia,Spotted Lanternfly
94447229,2021-09-11,39.2096182371,-78.1792600561,9.0,Frederick,Virginia,Spotted Lanternfly
94455189,2021-09-11,39.1865196228,-78.1803359985,74.0,Winchester,Virginia,Spotted Lanternfly
94488264,2021-09-11,39.187286377,-78.132484436,65.0,Frederick,Virginia,Spotted Lanternfly
94923401,2021-09-15,39.1870786826,-78.1250002787,20.0,Frederick,Virginia,Spotted Lanternfly
95152870,2021-09-17,39.1868171692,-78.1320343018,9.0,Frederick,Virginia,Spotted Lanternfly
95165269,2021-09-17,39.1553028333,-78.1600195,25.0,Frederick,Virginia,Spotted Lanternfly
95266747,2021-09-18,39.1586743758,-78.1711537661,10.0,Winchester,Virginia,Spotted Lanternfly
95360187,2021-07-15,39.1863949583,-78.1725271046,3220.0,Winchester,Virginia,Spotted Lanternfly
95576584,2021-09-20,39.0423445,-78.1609805,4.0,Frederick,Virginia,Spotted Lanternfly
95652769,2021-09-18,39.2214798267,-78.1363531645,58.0,Frederick,Virginia,Spotted Lanternfly
95874886,2021-09-23,39.2007484436,-78.1859207153,36.0,Winchester,Virginia,Spotted Lanternfly
95875754,2021-09-23,39.2007446289,-78.1859741211,12.0,Winchester,Virginia,Spotted Lanternfly
96107707,2021-09-25,39.150241637,-78.0994177284,9.0,Winchester,Virginia,Spotted Lanternfly
96113458,2021-09-25,39.1878194455,-78.1463085954,16.0,Winchester,Virginia,Spotted Lanternfly
96115315,2021-09-25,39.1868553162,-78.1320419312,13.0,Frederick,Virginia,Spotted Lanternfly
96146036,2021-09-25,39.1864096228,-78.1813484358,39.0,Winchester,Virginia,Spotted Lanternfly
96155734,2021-09-25,39.1905082182,-78.1633942883,4.0,Winchester,Virginia,Spotted Lanternfly
96213036,2021-09-26,39.2090029183,-78.1772553015,49.0,Frederick,Virginia,Spotted Lanternfly
96486646,2021-09-28,39.10855,-78.1537,65.0,Frederick,Virginia,Spotted Lanternfly
96507784,2021-09-20,39.1847473588,-78.14017497,16.0,Winchester,Virginia,Spotted Lanternfly
96620142,2021-09-29,39.2694268457,-78.2510077153,25.0,Frederick,Virginia,Spotted Lanternfly
96818429,2021-10-01,39.16833,-78.1603,1414.0,Winchester,Virginia,Spotted Lanternfly
96853799,2021-10-01,39.315674001,-78.2386000467,2.0,Frederick,Virginia,Spotted Lanternfly
96893485,2021-10-02,39.1678166667,-78.1573195,52.0,Winchester,Virginia,Spotted Lanternfly
96893650,2021-10-02,39.1678166667,-78.1573195,52.0,Winchester,Virginia,Spotted Lanternfly
96901457,2021-09-25,39.1917883333,-78.2071,7.0,Frederick,Virginia,Spotted Lanternfly
96938956,2021-10-02,39.1108388333,-78.19058,65.0,Frederick,Virginia,Spotted Lanternfly
97193503,2021-10-02,39.1657305,-78.1680216667,8.0,Winchester,Virginia,Spotted Lanternfly
97198653,2021-10-04,38.9037883333,-77.0972528333,34.0,Arlington,Virginia,Spotted Lanternfly
97333811,2021-10-04,39.2206883333,-78.1331555,4.0,Frederick,Virginia,Spotted Lanternfly
97372080,2021-10-06,39.1844133333,-78.1650555,35.0,Winchester,Virginia,Spotted Lanternfly
97662197,2021-10-09,39.2163269095,-78.192453723,87.0,Frederick,Virginia,Spotted Lanternfly
97697564,2021-10-09,39.1687684693,-78.0876809195,26.0,Frederick,Virginia,Spotted Lanternfly
97703630,2021-10-09,39.1709136963,-78.0924835205,47.0,Frederick,Virginia,Spotted Lanternfly
97710186,2021-10-09,39.1823416667,-78.1670833333,65.0,Winchester,Virginia,Spotted Lanternfly
98119573,2021-10-13,37.34725193,-77.34502902,10.0,Chesterfield,Virginia,Spotted Lanternfly
98311357,2021-10-15,39.2214212134,-78.1359491497,9.0,Frederick,Virginia,Spotted Lanternfly
98312927,2021-10-15,39.2222787,-78.1320378,11.0,Frederick,Virginia,Spotted Lanternfly
100326764,2021-11-05,39.1358203075,-78.0516201778,7.0,Clarke,Virginia,Spotted Lanternfly
102126653,2021-11-09,37.5788967168,-77.5413238723,1.0,Richmond city,Virginia,Spotted Lanternfly
103905252,2020-09-10,39.178545,-78.1722033333,65.0,Winchester,Virginia,Spotted Lanternfly
104637869,2021-09-30,39.1855444444,-78.1651166667,8.0,Winchester,Virginia,Spotted Lanternfly
116074289,2022-04-29,38.7808917668,-77.5707843068,602.0,Prince William,Virginia,Spotted Lanternfly
116174831,2022-05-08,39.0546083333,-78.0638111111,4.0,Clarke,Virginia,Spotted Lanternfly
117704546,2022-05-15,39.0642582,-78.0641588,188.0,Clarke,Virginia,Spotted Lanternfly
117796623,2022-05-19,39.0546222222,-78.0637444444,13.0,Clarke,Virginia,Spotted Lanternfly
118051199,2022-05-21,39.1518168664,-78.148990972,7.0,Frederick,Virginia,Spotted Lanternfly
118086991,2022-05-21,39.0779798432,-78.0490146485,5.0,Clarke,Virginia,Spotted Lanternfly
118601027,2022-05-23,39.0391805,-78.1528388333,4.0,Frederick,Virginia,Spotted Lanternfly
119295618,2022-05-29,38.7925916667,-77.6535866667,4.0,Prince William,Virginia,Spotted Lanternfly
119822152,2022-05-26,39.0623535503,-78.0741125732,104.0,Clarke,Virginia,Spotted Lanternfly
120199240,2022-06-04,39.1696025604,-78.1581590472,34.0,Winchester,Virginia,Spotted Lanternfly
120325348,2022-06-05,39.1522858685,-78.2179745389,15.0,Frederick,Virginia,Spotted Lanternfly
121176774,2022-06-10,39.0633450148,-78.0600221874,31.0,Clarke,Virginia,Spotted Lanternfly
121449982,2022-06-12,39.176399231,-78.1921844482,4.0,Winchester,Virginia,Spotted Lanternfly
121909963,2022-06-15,39.1766204834,-78.192817688,4.0,Winchester,Virginia,Spotted Lanternfly
121939677,2022-06-15,39.2064133333,-78.1635445,4.0,Frederick,Virginia,Spotted Lanternfly
122035262,2022-06-16,39.2235833333,-78.1996216667,3.0,Frederick,Virginia,Spotted Lanternfly
122301877,2022-06-18,39.0599213052,-78.0618036671,9.0,Clarke,Virginia,Spotted Lanternfly
122361998,2022-06-18,39.0598994308,-78.0618326169,5.0,Clarke,Virginia,Spotted Lanternfly
122362459,2022-06-18,39.255905655,-78.0937823887,3038.0,Frederick,Virginia,Spotted Lanternfly
122526293,2022-06-19,39.2022162865,-78.2597486862,4.0,Frederick,Virginia,Spotted Lanternfly
122677336,2022-06-20,39.100045247,-78.1596473348,8.0,Frederick,Virginia,Spotted Lanternfly
122717648,2022-06-20,39.1758003235,-78.1887130737,4.0,Winchester,Virginia,Spotted Lanternfly
123367143,2022-06-25,39.2126783333,-78.1978833333,16.0,Frederick,Virginia,Spotted Lanternfly
123395983,2022-06-24,39.0384166667,-78.1581194444,4.0,Frederick,Virginia,Spotted Lanternfly
123757722,2022-06-27,39.0940993254,-78.1276061386,5.0,Frederick,Virginia,Spotted Lanternfly
123916135,2022-06-28,38.7264283333,-77.5273666667,7.0,Prince William,Virginia,Spotted Lanternfly
123977474,2022-06-29,39.1627998352,-78.1243133545,13.0,Frederick,Virginia,Spotted Lanternfly
124152721,2022-06-30,39.1860019293,-78.1194351602,1786.0,Frederick,Virginia,Spotted Lanternfly
124442139,2022-07-02,39.1723884046,-78.1639300257,36.0,Winchester,Virginia,Spotted Lanternfly
124831526,2022-07-04,39.0611907461,-78.0678034742,31.0,Clarke,Virginia,Spotted Lanternfly
124882517,2022-07-05,39.0596951263,-78.1401280314,7.0,Clarke,Virginia,Spotted Lanternfly
124924424,2022-07-05,39.0638429319,-78.0634671871,9.0,Clarke,Virginia,Spotted Lanternfly
125075230,2022-07-06,39.0596583333,-78.1407166667,8.0,Clarke,Virginia,Spotted Lanternfly
125155942,2022-07-06,39.2519833333,-78.0632388333,4.0,Frederick,Virginia,Spotted Lanternfly
125155971,2022-07-06,39.2519833333,-78.0632388333,4.0,Frederick,Virginia,Spotted Lanternfly
125325907,2022-07-08,39.1161528756,-78.0671888854,4.0,Frederick,Virginia,Spotted Lanternfly
125525622,2022-07-09,39.27007085,-78.1969951,78.0,Frederick,Virginia,Spotted Lanternfly
126114959,2022-07-13,39.0546611111,-78.0637277778,25.0,Clarke,Virginia,Spotted Lanternfly
126245742,2022-07-14,39.0838279724,-78.1839447021,4.0,Frederick,Virginia,Spotted Lanternfly
126332012,2022-07-14,39.0965059532,-78.2730326478,834.0,Frederick,Virginia,Spotted Lanternfly
126357630,2022-07-15,39.0870401821,-78.0094826097,23.0,Frederick,Virginia,Spotted Lanternfly
126686925,2022-07-17,38.7381731247,-77.5675643143,23.0,Prince William,Virginia,Spotted Lanternfly
126696171,2022-07-17,39.117275,-77.5617616667,3.0,Loudoun,Virginia,Spotted Lanternfly
126887743,2022-07-18,37.3955583333,-79.1854333333,35.0,Lynchburg,Virginia,Spotted Lanternfly
126989725,2022-07-19,39.0495695,-78.1652528333,4.0,Frederick,Virginia,Spotted Lanternfly
127006391,2022-07-19,37.4206616667,-79.1446695,4.0,Lynchburg,Virginia,Spotted Lanternfly
127338100,2022-07-21,38.7283861189,-77.526259236,100.0,Prince William,Virginia,Spotted Lanternfly
127491705,2022-07-22,39.15649285,-78.17179316,3.0,Winchester,Virginia,Spotted Lanternfly
127576458,2022-07-23,39.1826216667,-78.164575,35.0,Winchester,Virginia,Spotted Lanternfly
127738427,2022-07-24,39.0022468567,-78.2384796143,35.0,Warren,Virginia,Spotted Lanternfly
127944816,2022-07-25,39.0043819973,-78.3394701297,40.0,Shenandoah,Virginia,Spotted Lanternfly
128023184,2022-07-26,38.9713134766,-78.047454834,35.0,Warren,Virginia,Spotted Lanternfly
128052029,2022-07-26,39.06502949,-78.06235321,3.0,Clarke,Virginia,Spotted Lanternfly
128290770,2022-07-28,39.2376213074,-78.1061935425,24.0,Frederick,Virginia,Spotted Lanternfly
128298434,2022-07-28,38.8268054696,-77.5094438811,5.0,Prince William,Virginia,Spotted Lanternfly
128457059,2022-07-29,39.07342959,-78.04108728,9.0,Clarke,Virginia,Spotted Lanternfly
128501872,2022-07-29,38.9091383333,-78.16967,3.0,Warren,Virginia,Spotted Lanternfly
128529537,2022-07-29,37.3499946594,-79.1685256958,342.0,Lynchburg,Virginia,Spotted Lanternfly
128529718,2022-07-29,38.6769506925,-77.3780954623,17.0,Prince William,Virginia,Spotted Lanternfly
128635924,2022-07-30,39.1951037252,-78.0427390337,184.0,Clarke,Virginia,Spotted Lanternfly
128691891,2022-07-30,39.2576466667,-78.181245,7.0,Frederick,Virginia,Spotted Lanternfly
129425664,2022-08-04,39.061185369,-78.0664038185,69.0,Clarke,Virginia,Spotted Lanternfly
129447914,2022-08-01,39.1163778333,-77.5597083333,4.0,Loudoun,Virginia,Spotted Lanternfly
129467582,2022-07-21,39.1278195,-77.7873616667,30.0,Loudoun,Virginia,Spotted Lanternfly
129565584,2022-08-05,39.1855866667,-78.1803966667,4.0,Winchester,Virginia,Spotted Lanternfly
129660228,2022-08-06,39.1686333333,-78.189025,10.0,Winchester,Virginia,Spotted Lanternfly
129839568,2022-08-07,39.1953828585,-78.1676898669,2278.0,Winchester,Virginia,Spotted Lanternfly
130027179,2022-08-08,39.1869866667,-78.2044966667,4.0,Frederick,Virginia,Spotted Lanternfly
130274330,2022-07-28,39.0642582,-78.0641588,188.0,Clarke,Virginia,Spotted Lanternfly
130562039,2022-08-12,39.1575447455,-78.191095683,23.0,Frederick,Virginia,Spotted Lanternfly
130693164,2022-08-13,39.2429355719,-78.1155634393,5.0,Frederick,Virginia,Spotted Lanternfly
130789791,2022-08-14,39.1906185237,-78.2025963401,51.0,Frederick,Virginia,Spotted Lanternfly
130793918,2022-08-14,39.05955,-78.0627361667,4.0,Clarke,Virginia,Spotted Lanternfly
131125223,2022-08-16,39.0783477668,-78.0476657488,17.0,Clarke,Virginia,Spotted Lanternfly
131165487,2022-08-16,39.1604195,-78.1544888333,6.0,Frederick,Virginia,Spotted Lanternfly
131170883,2022-08-16,39.1902212318,-78.1059970251,56.0,Frederick,Virginia,Spotted Lanternfly
131377314,2022-08-18,39.0783334757,-78.046899559,17.0,Clarke,Virginia,Spotted Lanternfly
131736616,2022-08-21,39.16878,-78.0875695,4.0,Frederick,Virginia,Spotted Lanternfly
132437377,2022-08-26,38.7353617559,-77.56720257,5.0,Prince William,Virginia,Spotted Lanternfly
132555537,2022-08-27,39.1186221667,-78.1946966667,45.0,Frederick,Virginia,Spotted Lanternfly
132581353,2022-08-27,39.1211445,-78.1951216667,35.0,Frederick,Virginia,Spotted Lanternfly
133501373,2022-09-03,39.1847133333,-78.1653583333,4.0,Winchester,Virginia,Spotted Lanternfly
133509220,2022-09-03,38.9709777832,-78.0476531982,186.0,Warren,Virginia,Spotted Lanternfly
133536714,2022-09-03,39.0600832899,-78.0627191439,87.0,Clarke,Virginia,Spotted Lanternfly
133541761,2022-09-03,39.1216352139,-77.5606335847,36.0,Loudoun,Virginia,Spotted Lanternfly
133648674,2022-09-04,39.14686203,-78.2644958496,1246.0,Frederick,Virginia,Spotted Lanternfly
133665945,2022-09-04,39.1945253,-78.0432035,45.0,Clarke,Virginia,Spotted Lanternfly
133690250,2022-09-04,39.0623666667,-78.0722888889,52.0,Clarke,Virginia,Spotted Lanternfly
133749129,2022-09-05,39.1468579229,-78.1898979285,5.0,Winchester,Virginia,Spotted Lanternfly
133794727,2022-09-05,39.16773,-78.1641305,7.0,Winchester,Virginia,Spotted Lanternfly
133818031,2022-09-05,39.1676866667,-78.1641083333,8.0,Winchester,Virginia,Spotted Lanternfly
