id,observed_on,latitude,longitude,positional_accuracy,place_county_name,place_state_name,place_country_name,species_guess
100327007,2021-10-23,39.6228225456,-78.2871311713,15.0,Washington,Maryland,United States,tree-of-heaven
100485087,2021-11-06,39.6454083333,-76.7266,10.0,Baltimore,Maryland,United States,tree-of-heaven
100531197,2021-11-07,39.6804616667,-76.76255,10.0,Baltimore,Maryland,United States,tree-of-heaven
101110065,2021-11-14,39.32554245,-76.6105422974,98.0,"Baltimore City, MD",Maryland,United States,Götterbaum
101588730,2021-11-19,38.4669833333,-77.0302416667,6.0,Charles,Maryland,United States,tree-of-heaven
102168589,2021-11-27,39.4646792961,-76.5727517921,60.0,Baltimore,Maryland,United States,tree-of-heaven
102666855,2021-07-22,39.5986364986,-77.763715707,220.0,Washington,Maryland,United States,Götterbaum
104054171,2021-12-31,38.4932366667,-76.5905833333,25.0,Calvert,Maryland,United States,tree-of-heaven
104243678,2022-01-02,39.5399481357,-77.7456073044,4.0,Washington,Maryland,United States,tree-of-heaven
105244533,2022-01-19,39.5723598195,-78.8932430747,39.0,Allegany,Maryland,United States,Götterbaum
105245857,2022-01-19,39.4106917069,-78.9935519877,60.0,Allegany,Maryland,United States,tree-of-heaven
105583169,2022-01-25,39.6480829045,-77.2336831341,45.0,Frederick,Maryland,United States,Tree-of-Heaven
105906768,2022-01-27,39.600918023,-77.7237373777,7.0,Washington,Maryland,United States,Árbol del cielo
106145328,2022-02-04,39.6421177377,-78.695056816,38.0,Allegany,Maryland,United States,tree-of-heaven
106221940,2016-10-20,39.6148148579,-77.9487289102,95.0,Washington,Maryland,United States,tree-of-heaven
106280233,2016-10-20,39.5974347268,-77.8284374426,135.0,Washington,Maryland,United States,tree-of-heaven
106317828,2022-02-06,39.2355222222,-76.0066,5.0,Queen Anne's,Maryland,United States,tree-of-heaven
106425772,2016-08-26,39.4275070664,-77.0442455735,103.0,Carroll,Maryland,United States,tree-of-heaven
106463602,2022-02-09,39.747075065,-78.2566496648,42.0,Allegany,Maryland,United States,tree-of-heaven
106517355,2016-07-05,39.3361143197,-77.7524402999,20.0,Washington,Maryland,United States,tree-of-heaven
106645123,2022-02-12,38.6803866667,-75.77475,3.0,Caroline,Maryland,United States,Götterbaum
106956777,2022-02-17,39.7618273444,-78.9770548966,14.0,Allegany,Maryland,United States,tree-of-heaven
106993858,2022-02-14,39.6426144963,-76.7712857021,8.0,Baltimore,Maryland,United States,tree-of-heaven
107006029,2022-02-18,39.6171603093,-78.602651898,45.0,Allegany,Maryland,United States,Götterbaum
108580001,2022-03-13,39.1899633333,-75.934555,5.0,Queen Anne's,Maryland,United States,tree-of-heaven
109503315,2022-03-25,39.6653361745,-78.9372926015,68.0,Allegany,Maryland,United States,tree-of-heaven
109541298,2022-03-26,39.6187783266,-76.1582959917,4.0,Harford,Maryland,United States,tree-of-heaven
110241108,2022-04-02,39.7188525609,-78.2811136544,9.0,Washington,Maryland,United States,tree-of-heaven
110312241,2022-04-03,39.5866295603,-77.4370135088,4.0,Frederick,Maryland,United States,tree-of-heaven
111637879,2022-04-16,39.2839083333,-76.5538116667,14.0,"Baltimore City, MD",Maryland,United States,Götterbaum
112866679,2022-04-25,39.1555131181,-76.8909732532,10.0,Howard,Maryland,United States,Götterbaum
113152013,2022-04-24,39.1599221667,-75.9345166667,5.0,Queen Anne's,Maryland,United States,tree-of-heaven
113362303,2022-04-29,38.9949162724,-76.6817398277,4.0,Anne Arundel,Maryland,United States,tree-of-heaven
113369751,2022-04-29,39.2830783333,-76.55458,14.0,"Baltimore City, MD",Maryland,United States,tree-of-heaven
113562941,2022-04-29,38.4465413,-76.4585791,586.0,Calvert,Maryland,United States,tree-of-heaven
113566594,2022-04-29,39.2636355232,-76.5812851296,420.0,"Baltimore City, MD",Maryland,United States,tree-of-heaven
113650313,2022-04-29,38.4900439,-76.591759,214.0,Calvert,Maryland,United States,tree-of-heaven
113650317,2022-04-29,38.4900439,-76.591759,214.0,Calvert,Maryland,United States,tree-of-heaven
113861111,2022-04-30,38.7859552168,-76.7006462999,4.0,Anne Arundel,Maryland,United States,tree-of-heaven
113924366,2022-04-30,38.9699042378,-77.1774066389,65.0,Montgomery,Maryland,United States,tree-of-heaven
